,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
864,865,Binance Coin,BNB,2019-12-07 23:59:59,15.8486,15.6325,15.7044,15.6671,242693199.3,2436807070.0
865,866,Binance Coin,BNB,2019-12-08 23:59:59,15.8514,15.5093,15.6628,15.6745,223721642.9,2437963813.0
866,867,Binance Coin,BNB,2019-12-09 23:59:59,15.8527,15.3502,15.6661,15.4485,209955476.0,2402814942.0
867,868,Binance Coin,BNB,2019-12-10 23:59:59,15.4702,14.781,15.4388,14.9589,192615786.7,2326653545.0
868,869,Binance Coin,BNB,2019-12-11 23:59:59,15.1213,14.7103,14.9475,14.8246,170909630.6,2305761910.0
869,870,Binance Coin,BNB,2019-12-12 23:59:59,14.8956,14.5574,14.8196,14.8182,165964329.9,2304769038.0
870,871,Binance Coin,BNB,2019-12-13 23:59:59,14.9951,14.7403,14.8173,14.8787,177476226.7,2314190903.0
871,872,Binance Coin,BNB,2019-12-14 23:59:59,15.0123,14.3713,14.8832,14.505,173092732.7,2256062410.0
872,873,Binance Coin,BNB,2019-12-15 23:59:59,14.5697,14.189,14.5125,14.4904,167670329.3,2253796378.0
873,874,Binance Coin,BNB,2019-12-16 23:59:59,14.5256,13.4587,14.4887,13.5588,178952097.0,2108889027.0
874,875,Binance Coin,BNB,2019-12-17 23:59:59,13.5779,12.1837,13.5555,12.3869,186995962.3,1926624068.0
875,876,Binance Coin,BNB,2019-12-18 23:59:59,13.6065,12.2868,12.3817,13.5353,234697405.4,2105229821.0
876,877,Binance Coin,BNB,2019-12-19 23:59:59,13.7849,12.9662,13.5682,13.4458,174965244.9,2091312286.0
877,878,Binance Coin,BNB,2019-12-20 23:59:59,13.5933,13.2314,13.4595,13.5708,203861104.8,2110754367.0
878,879,Binance Coin,BNB,2019-12-21 23:59:59,13.5832,13.329,13.5681,13.3807,192827533.5,2081183680.0
879,880,Binance Coin,BNB,2019-12-22 23:59:59,13.8519,13.3683,13.3902,13.8359,204111890.0,2151987387.0
880,881,Binance Coin,BNB,2019-12-23 23:59:59,13.9991,13.3057,13.8105,13.369,159105886.7,2079375570.0
881,882,Binance Coin,BNB,2019-12-24 23:59:59,13.7683,13.3262,13.3814,13.4446,177372409.0,2091124420.0
